,AFF,AFF,Freq,OPEID,OPEID,Issues
102,BOARD LIFE SCI,BOARD LIFE SCI,5,NA,NA,Not in MSI list
356,BOGAZICI UNIV,BOGAZICI UNIVERSITY,1,NA,NA,Not in MSI list
358,BOWLING GREEN STATE UNIV,BOWLING GREEN STATE UNIVERSITY,1,NA,NA,Multiple campuses: 2
27,BRIGHAM YOUNG UNIV,BRIGHAM YOUNG UNIVERSITY,21,NA,NA,"Multiple campuses: 2 (Idaho, Provo. Hawaii already listed)"
359,BRIGHAM YOUNG UNIV HAWAII,BRIGHAM YOUNG UNIVERSITY HAWAII,1,160600,160600,
360,BROWN DEER HIGH SCH,BROWN DEER HIGH SCH,1,NA,NA,Not in MSI list
362,BULACAN STATE UNIV,BULACAN STATE UNIVERSITY,1,NA,NA,Not in MSI list
164,CABRINI COLL,CABRINI COLLEGE,3,#N/A,#N/A,
364,CALIF STATE POLYTECH UNIV,CALIFORNIA STATE POLYTECH UNIVERSITY,1,#N/A,#N/A,
365,CALIF STATE POLYTECH UNIV POMONA,CALIFORNIA STATE POLYTECH UNIVERSITY POMONA,1,#N/A,#N/A,
366,CALIF STATE UNIV,CALIFORNIA STATE UNIVERSITY,1,#N/A,#N/A,
368,CALIF STATE UNIV HAYWARD,CALIFORNIA STATE UNIVERSITY-HAYWARD,1,#N/A,#N/A,
372,CALIF STATE UNIV SYST,CALIFORNIA STATE UNIVERSITY-SYST,1,#N/A,#N/A,
373,CAMPBELL KIBLER ASSOCIATES INC,CAMPBELL KIBLER ASSOCIATES INC,1,#N/A,#N/A,
374,CANADA COLL,CANADA COLLEGE,1,#N/A,#N/A,
376,CARIL RES INST AND SCH MED,CARIL RES INST AND SCH MED,1,#N/A,#N/A,
377,CARILION SCH MED,CARILION SCH MED,1,#N/A,#N/A,
378,CATHOLIC UNIV AMER,CATHOLIC UNIVERSITY AMER,1,#N/A,#N/A,
379,CELAL BAYAR UNIV,CELAL BAYAR UNIVERSITY,1,#N/A,#N/A,
170,CENT MICHIGAN UNIV,CENT MICHIGAN UNIVERSITY,3,#N/A,#N/A,
381,CHANDLER GILBERT COMMUNITY COLL,CHANDLER GILBERT COMMUNITY COLLEGE,1,#N/A,#N/A,
382,CHARLES UNIV PRAGUE,CHARLES UNIVERSITY PRAGUE,1,#N/A,#N/A,
252,CINCINNATI CHILDRENS HOSP MED CTR,CINCINNATI CHILDRENS HOSP MED CTR,2,#N/A,#N/A,
384,CITY COLL,CITY COLLEGE,1,#N/A,#N/A,
