"","AFF","Freq"
"365","UNIVERSITE DE MONTREAL",2
"366","UNIVERSITY NACIONAL CUYO MENDOZA",2
"367","UNIVERSITY OF ALABAMA TUSCALOOSA",2
"368","UNIVERSITY OF DETROIT MERCY",2
"369","UNIVERSITY OF DUISBURG ESSEN",2
"370","UNIVERSITY OF GRONINGEN",2
"371","UNIVERSITY OF KANSAS",2
"372","UNIVERSITY OF LEEDS",2
"373","UNIVERSITY OF LOUISIANA MONROE",2
"374","UNIVERSITY OF LOUISIANA SYSTEM",2
"375","UNIVERSITY OF LOUISVILLE",2
"376","UNIVERSITY OF MISSOURI KANSAS CITY",2
"377","UNIVERSITY OF NEVADA LAS VEGAS",2
"378","UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CAMPUS",2
"379","UNIVERSITY OF SYDNEY",2
"380","UNIVERSITY OF TAMPA",2
"381","UNIVERSITY OF TENNESSEE AT CHATTANOOGA",2
"382","UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER",2
"383","UNIVERSITY OF THE VIRGIN ISLANDS",2
"384","UNIVERSITY OF WISCONSIN STOUT",2
"385","UNIVERSITY TORONTO MISSISSAUGA",2
"386","URSINUS COLL",2
"387","US DEPARTMENT OF EDUCATION",2
"388","US DEPARTMENT OF VETERANS AFFAIRS",2
"389","VALDOSTA STATE UNIVERSITY",2
"390","VANDERBILT UNIVERSITY PEABODY COLLEGE",2
"391","VETERANS HEALTH ADMINISTRATION (VHA)",2
"392","VIRGINIA COMMONWEALTH UNIVERSITY",2
"393","WESTERN CAROLINA UNIVERSITY",2
"394","WESTERN UNIVERSITY (UNIVERSITY OF WESTERN ONTARIO)",2
"395","WILKES UNIVERSITY",2
"396","ACADEMIC MEDICAL CENTER AMSTERDAM",1
"397","AGNES SCOTT COLL",1
"398","ALBRIGHT COLL",1
"399","AMER ASSOC ADVANCEMENT SCI",1
"400","AMERICAN INSTITUTES FOR RESEARCH",1
"401","AMERICAN UNIVERSITY",1
"402","ARKANSAS TECH UNIVERSITY",1
"403","ASSOC WOMEN SCI",1
"404","ASTON UNIVERSITY",1
"405","ATHABASCA UNIVERSITY",1
"406","AUGUSTANA COLL",1
"407","BAYLOR UNIVERSITY",1
"408","BELLARMINE UNIVERSITY",1
"409","BOARD CHEM SCI AND TECHNOL",1
"410","BOGAZICI UNIVERSITY",1
"411","BOSTON UNIVERSITY",1
"412","BRIGHAM YOUNG UNIVERSITY - HAWAII",1
"413","BULACAN STATE UNIVERSITY",1
"414","BURROUGHS WELLCOME FUND",1
"415","CABRINI COLL",1
"416","CALIF STATE UNIV",1
"417","CALIFORNIA STATE UNIVERSITY EAST BAY",1
"418","CALIFORNIA STATE UNIVERSITY FRESNO",1
"419","CALIFORNIA STATE UNIVERSITY SAN BERNARDINO",1
"420","CAPITAL UNIVERSITY",1
"421","CARY INSTITUTE OF ECOSYSTEM STUDIES",1
"422","CATHOLIC UNIVERSITY OF AMERICA",1
"423","CELAL BAYAR UNIVERSITY",1
"424","CENTRAL WASHINGTON UNIVERSITY",1
"425","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS)",1
"426","CHAPMAN UNIVERSITY",1
